,Address,Txns_x,First Transacted_x,Last Transacted_x,Ⱥ In_x,Ⱥ Out_x,Ⱥ Net_x,Txns_y,First Transacted_y,Last Transacted_y,Ⱥ In_y,Ⱥ Out_y,Ⱥ Net_y,exists
328,72TRTWHIBCGMXBLFZ7NRLQZGUYXTJGPTLSODADU5S5IAM6J6VSJEZ4CM2Q,1,"2/1/2023, 1:24:11 AM","2/1/2023, 1:24:11 AM",0.0,1218.604011,-1218.604011,1.0,"10/23/2022, 5:14:15 AM","10/23/2022, 5:14:15 AM",0.0,0.002,-0.002,both
340,RO4W6K465IPDQB7P7SY5KGE3FMX75LI464MUAHJWHM7ZXDUDDHBHMPVO54,2,"1/27/2023, 4:24:11 AM","1/27/2023, 10:38:11 PM",0.0,121.5012,-121.5012,1.0,"10/24/2022, 6:17:44 PM","10/24/2022, 6:17:44 PM",0.0,0.002,-0.002,both
341,DRYMH24CUZG35K3SHCPIKH26VLM3PQZOKEVV3PFMHFTTFU5GHWK64BDCRI,3,"6/16/2022, 5:50:17 AM","1/27/2023, 11:35:13 AM",0.0,6779.6155,-6779.6155,1.0,"10/24/2022, 10:57:42 AM","10/24/2022, 10:57:42 AM",0.0,0.002,-0.002,both
345,Y6CXCSCSV3BR5HIKSW4TTDUWL76B4DEIB7DLMDMYNPF2SUOSAXVSIZKMMI,5,"7/17/2022, 1:04:09 PM","1/26/2023, 6:40:14 AM",0.0,1788.4219,-1788.4219,1.0,"10/24/2022, 9:51:33 PM","10/24/2022, 9:51:33 PM",0.0,0.002,-0.002,both
356,SU7C3TFDIM4RCI3UNWNNDCZR6CMHJAZHOI4HZMCF2VX7OMJA2PUHSM5X6M,5,"8/15/2022, 11:37:13 PM","1/24/2023, 8:31:10 AM",0.0,7290.366931,-7290.366931,1.0,"10/24/2022, 6:57:09 PM","10/24/2022, 6:57:09 PM",0.0,0.002,-0.002,both
361,7C3IZ7ASQF4Q4JL2YQAVSST7Q6C4GQKC2MVNJJ26YBMHTJWT5UNY5A3JXI,12,"3/20/2022, 9:50:14 PM","1/24/2023, 5:42:13 AM",0.0,16577.788517,-16577.788517,1.0,"10/23/2022, 7:17:57 AM","10/23/2022, 7:17:57 AM",0.0,0.002,-0.002,both
363,6UXK42F2P33UPREVJFWNHVKAD7CTTUBESK6RBP4W2PCDCYISAUJMEDLG4Q,3,"3/24/2021, 8:29:26 AM","1/23/2023, 12:16:09 AM",0.0,19906.5029,-19906.5029,1.0,"10/23/2022, 3:36:08 AM","10/23/2022, 3:36:08 AM",0.0,0.002,-0.002,both
366,4LTYW65A3RXEXFSJRZAROC7T5DS5CQXIAI34KCV5EBPBBMZS72XHXYMNS4,1,"1/22/2023, 3:09:07 AM","1/22/2023, 3:09:07 AM",0.0,271.2867,-271.2867,1.0,"10/22/2022, 6:54:48 AM","10/22/2022, 6:54:48 AM",0.0,0.002,-0.002,both
381,3PVYZ45SQJQNP5WYM22CAGTKI625SWN3ZV5FA7AHIU2MZO25NA7DFRHJO4,1,"1/18/2023, 4:51:14 AM","1/18/2023, 4:51:14 AM",0.0,1500.0,-1500.0,1.0,"10/21/2022, 11:04:33 PM","10/21/2022, 11:04:33 PM",0.0,0.002,-0.002,both
384,A2NITY6J7NHVTW6C3ETRAORIQUSY3QY6GAEIPX6ZA6LTI6IKYI63KYST3M,4,"3/19/2022, 2:17:09 AM","1/18/2023, 1:17:08 AM",0.0,12927.463200000002,-12927.463200000002,1.0,"10/23/2022, 2:11:46 PM","10/23/2022, 2:11:46 PM",0.0,0.002,-0.002,both
396,XAWET7GUP26EGVWGKGHRAWTKIQ6DVOYO6Q5XT5O5S47KSPFFRXJWHX3IRY,1,"1/15/2023, 1:42:13 AM","1/15/2023, 1:42:13 AM",0.0,1728.5219,-1728.5219,1.0,"10/24/2022, 9:22:02 PM","10/24/2022, 9:22:02 PM",0.0,0.002,-0.002,both
398,ONNGX4WEYVAKDE3TJAVROMOYXGEZQTJVHO4IHMYKFYOUXOCKYMSKWTQGBE,4,"3/27/2022, 12:19:10 PM","1/14/2023, 8:13:13 PM",0.0,170170.283481,-170170.283481,1.0,"10/24/2022, 4:38:43 PM","10/24/2022, 4:38:43 PM",0.0,0.002,-0.002,both
403,RT5RRC76VDKTNWI77MUYW6RML3YW452S2ZX3DYEZGO6G7VIXIRIYREXGCE,12,"6/24/2022, 12:07:07 PM","1/12/2023, 1:38:11 AM",0.0,23627.356918,-23627.356918,1.0,"10/24/2022, 6:22:49 PM","10/24/2022, 6:22:49 PM",0.0,0.002,-0.002,both
405,IKCVLCLLCIZLE7SX5PZB55N25GCHDWZSRQF7IE2XET5HLXMASJICU37LMQ,4,"12/20/2022, 4:32:13 AM","1/10/2023, 8:07:09 AM",0.0,41822.1193,-41822.1193,1.0,"12/5/2022, 1:54:17 AM","12/5/2022, 1:54:17 AM",0.0,0.201,-0.201,both
410,TGOFBRKGZNGXXRMXMKAKRMGLLO2MCO3IYSOE5IBO3NSGRJ57XDM4CQSSD4,12,"7/13/2022, 12:16:16 PM","1/7/2023, 8:01:21 AM",0.0,24870.817618,-24870.817618,1.0,"10/24/2022, 7:16:32 PM","10/24/2022, 7:16:32 PM",0.0,0.002,-0.002,both
413,MYHNNVR77AGW6WZXFQDVOCWYBAVGXZUJJZ46LGW24V6UYSOUU4H55MKD4Q,1,"1/3/2023, 7:29:12 AM","1/3/2023, 7:29:12 AM",0.0,19.2145,-19.2145,1.0,"12/5/2022, 1:57:59 AM","12/5/2022, 1:57:59 AM",0.0,0.201,-0.201,both
415,7DHEBFADMFNBBSDDRNIUQUHKMMGS5L4ES5WQ4I6SO3YIP5AEE6XRBQIMJA,3,"4/5/2022, 2:49:13 AM","1/2/2023, 4:22:10 AM",0.0,11327.4336,-11327.4336,1.0,"10/23/2022, 7:40:21 AM","10/23/2022, 7:40:21 AM",0.0,0.002,-0.002,both
